# LIST2
Y1 8MHZ
R20 820
R17 820
C7 10N/10P 
E4 SH04/S04
R90 10K
V2 1N914
C20 68U
E95 S132
E1 S123
R95 10K
C5 1N
R11 220
R14 10K
C8 68U
C6 1N
E2 S14
E3 C74
E16 S367
R203 390
E32 Z80ACPU
E17 S244
E5 S244
E2 S14
E16 S367
E15 S244
E22 S04
E16 S367
R18 1K
R15 1K
E14 S367
E84 S08
R5 1K
R2 1K
R3 1K
R4 1K
R54 3K3
R16 56E
V1 LED
R7 1K
# LIST3
E29 S244
E12 S244
R9 1K
E22 S04
E21 S04
E15 S244
C300 330P
E7 S244
E19 S244
E22 S04
E24 S08
C110 390P
E37 S04
E82 S04
E10 S30?
E40 S42?
E11 S74
R22 3K3
E69 S138
E68 S138
E37 S04?
E24 S08
E11 S74
E41 S32
E24 S08
E36 S04
# LIST4
E36 S04
E38 S32
C103 390PF
E41 S32
E32 S08
E84 S08
E25 L04
E36 S04
R301 33R
R52 33R
E8 S244
E20 S244
E51 2716
E50 2716
E39 S244
E83 LS74
E38 S32
R51 33R
R43 33R
R50 33R
R45 33R
R47 33R
E49 33R
R46 33R
R44 33R
R48 33R
E59-62,E71-74 2164
E85-88,E98-101 2164
# LIST5
E30 Z80 SIO/1
E31 Z80 SIO/1
E46 S32
E2 S14
E43 1488
E46 S32
E45 1489
E52 1489
E54 S32
E44 1488
E43 1488
E53 1489
E64 MC14411
R59 3K3
R58 3K3
Y3 1.8432MHZ
R202 15M
E102 S86
R81 47E
R78 4K7
E89 P4?
R69 4K7
E75 P3?
R68 4K7
R82 1K
E90 P2?
E102 S86
R83 4K7
E76 P1
R86 4K7
R91 4K7
R86 3K7
E102 S86
R80 4.7K
R84 47E
R79 4K7?
R85 1K
E63 Z80PIO(MK3881)
R66 1K
R64 1K
R62 1K
R67 1K
R77 1K
R74 1K
R72 1K
R76 1K
R63 1K
R60 1K
R61 1K
R64 1K
R73 1K
R70 1K
R71 1K
R75 1K
# LIST6
E67 Z80CTC
R1 3K3
E37 S04
E34 S32
E47 S08
E55 S20
E94 S04
E77 S08
E14 S367
E107 S74
E82 S04
E33 Z80DMA
R19 10K
R12 3K3
E13 S244
E6 S244
E18 S244
E95 S132
E14 S367
E94 S04
E91 S32
E107 S74
E35 MM58167A
C22 20P
C21 20P
Y2 32.768KHZ
E9 S05
R201 560R
R200 2.7V
BAT 3V
R26 1K5
V4 1N414B
V3 1N414B?
E9 S05
E21 S04
E55 S20
E27 S04
R21 20K
R13 3K3
# LIST7
E66 S244
E65 S374
E91 S32
E78 S10
E103 S74
E104 S74
E105 S27
E79 S30
E92 S30
E93 S30
E75 S04
E77 S08
E94 S04
E91 S32
E106 S74
E81 S01
E94 S04
E78 S10
# LIST8
E27 S38
E28 S38
E26 S38
E70 S629?
E22 S04
E82 S04
E34 S32
E83 S74
R55 3K3
E96 S393
E108 S08
E97 S157
E82 S04
R88 47K
R92 50K
R89 68E
R87 47K
C301 580N
R93 50K
C18 82P
C102 2N2?
E58 S123
C17 68P
R53 5K1
E42 S14
R37 150
R40 150
R42 150
R39 150
R38 150
R41 150
R10 150R
E49 LS157
E26 S38
E27 S38
E57 WD2143-01
R84 10K
E48 WD1691
E37 S04
E56 8272
R204 330
E108 S08
E37 S04
R36 3K3
E81 S01
E2 S14
